userid,itemid,rating,dc
10138,W_Completeren aanvraag0,5.0,1
10138,W_Nabellen incomplete dossiers0,5.538461538461538,1
10138,W_Nabellen incomplete dossiers1,4.9375,1
10138,W_Nabellen incomplete dossiers2,5.333333333333333,1
10138,W_Nabellen incomplete dossiers3,5.0,1
10138,W_Nabellen incomplete dossiers4,3.3333333333333335,1
10138,W_Nabellen offertes0,5.0,1
10138,W_Valideren aanvraag0,4.899328859060402,1
10138,W_Valideren aanvraag1,5.219653179190752,1
10138,W_Valideren aanvraag2,4.791208791208791,1
10138,W_Valideren aanvraag3,4.214285714285714,1
10138,W_Valideren aanvraag4,5.0,1
10138,W_Valideren aanvraag5,4.785714285714286,1
10609,W_Afhandelen leads0,4.0,1
10609,W_Afhandelen leads1,5.0,1
10609,W_Nabellen incomplete dossiers0,4.485714285714286,1
10609,W_Nabellen incomplete dossiers1,4.173913043478261,1
10609,W_Nabellen incomplete dossiers2,4.8,1
10609,W_Nabellen offertes0,5.0,1
10609,W_Nabellen offertes3,5.0,1
10609,W_Valideren aanvraag0,4.741433021806853,1
10609,W_Valideren aanvraag1,4.276923076923077,1
10609,W_Valideren aanvraag2,4.407407407407407,1
10609,W_Valideren aanvraag3,4.333333333333333,1
10609,W_Valideren aanvraag6,7.0,1
10629,W_Afhandelen leads0,4.857142857142857,1
10629,W_Afhandelen leads1,5.0,1
10629,W_Afhandelen leads2,4.0,1
10629,W_Afhandelen leads5,6.0,1
10629,W_Completeren aanvraag0,4.0,1
10629,W_Completeren aanvraag1,5.0,1
10629,W_Completeren aanvraag2,4.5,1
10629,W_Completeren aanvraag5,5.0,1
10629,W_Nabellen incomplete dossiers0,5.666666666666667,1
10629,W_Nabellen incomplete dossiers1,4.875,1
10629,W_Nabellen incomplete dossiers2,5.0,1
10629,W_Nabellen incomplete dossiers3,4.6,1
10629,W_Nabellen incomplete dossiers4,6.0,1
10629,W_Nabellen incomplete dossiers5,3.5,1
10629,W_Nabellen incomplete dossiers6,5.0,1
10629,W_Nabellen offertes3,1.0,1
10629,W_Nabellen offertes5,4.0,1
10629,W_Valideren aanvraag0,5.084507042253522,1
10629,W_Valideren aanvraag1,5.083333333333333,1
10629,W_Valideren aanvraag2,5.072727272727272,1
10629,W_Valideren aanvraag3,5.0,1
10629,W_Valideren aanvraag4,4.875,1
10629,W_Valideren aanvraag5,4.935483870967742,1
10629,W_Valideren aanvraag6,4.8,1
10789,W_Nabellen incomplete dossiers0,5.714285714285714,1
10789,W_Nabellen incomplete dossiers1,5.0,1
10789,W_Nabellen incomplete dossiers2,5.5,1
10789,W_Nabellen incomplete dossiers5,6.0,1
10789,W_Nabellen offertes0,5.0,1
10789,W_Nabellen offertes1,6.0,1
10789,W_Nabellen offertes2,5.0,1
10789,W_Nabellen offertes3,5.0,1
10789,W_Nabellen offertes4,6.0,1
10789,W_Nabellen offertes5,5.0,1
10809,W_Afhandelen leads2,6.0,1
10809,W_Afhandelen leads3,5.0,1
10809,W_Beoordelen fraude0,5.0,1
10809,W_Nabellen incomplete dossiers0,5.05,1
10809,W_Nabellen incomplete dossiers1,4.375,1
10809,W_Nabellen incomplete dossiers2,4.636363636363637,1
10809,W_Nabellen incomplete dossiers3,3.7,1
10809,W_Nabellen incomplete dossiers4,5.666666666666667,1
10809,W_Nabellen incomplete dossiers5,5.4,1
10809,W_Nabellen incomplete dossiers6,6.0,1
10809,W_Nabellen offertes0,4.0,1
10809,W_Nabellen offertes2,3.0,1
10809,W_Nabellen offertes3,3.0,1
10809,W_Valideren aanvraag0,4.8076923076923075,1
10809,W_Valideren aanvraag1,4.630952380952381,1
10809,W_Valideren aanvraag2,4.888888888888889,1
10809,W_Valideren aanvraag3,4.826086956521739,1
10809,W_Valideren aanvraag4,4.25,1
10809,W_Valideren aanvraag5,5.0,1
